Object, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType,ApexClass,ApexPage,CustomField,FieldSet,FlexiPage,Flow,Layout,LookupFilter,ValidationRule,WebLink,WorkflowFieldUpdate
Account,00N4O000006tevVUAQ,TLB_CustomerStatus,null,CustomField,X,,,,,X,X,,X,,
Account,00N4O000006tevWUAQ,TLB_DaysWithoutOrder,null,CustomField,,,,,,,,,,,
Account,00N4O000006tevXUAQ,TLB_Deletionflag,null,CustomField,,,X,,,,X,,,,
Account,00N4O000006tevaUAA,TLB_Dropsize,null,CustomField,X,,,,,,,,,,
Account,00N4O000006tevbUAA,TLB_EconomicGroupCode,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tevcUAA,TLB_EconomicGroup,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tevdUAA,TLB_EmailSAP,null,CustomField,,,,,,X,X,,,,
Account,00N4O000006teveUAA,TLB_ExclusivePOS,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tevgUAA,TLB_Geolocation,null,CustomField,,,,,,,X,,,,
Account,00N5b00000E2ik4EAB,AFH_Account_Manager,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tevnUAA,TLB_MarketChannelDescription,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006tevoUAA,TLB_MicroRegionCode,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tevpUAA,TLB_MinimumOrderAmount,null,CustomField,X,,,,,X,,,,,
Account,00N4O000006tevqUAA,TLB_MostRecentOrderDate,null,CustomField,X,,,,,,,,,,
Account,00N4O000006tevsUAA,TLB_Orderblock,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006tevtUAA,TLB_PayerCode,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tevuUAA,TLB_PayerDescription,null,CustomField,,,,,,,,,,,
Account,00N4O000006tevxUAA,TLB_PriceBook,null,CustomField,X,,,,,,,,,,
Account,00N4O000006tevzUAA,TLB_SalesGroupCode,null,CustomField,,,,,,,,,,,
