Object, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType,ApexClass,ApexComponent,ApexPage,ApexTrigger,CustomField,EmailTemplate,FieldSet,FlexiPage,Flow,Layout,LookupFilter,ValidationRule,WaveDataflow,WebLink,WorkflowFieldUpdate
Account,00N0N00000HV7qqUAD,REX_District,null,CustomField,X,X,,,,X,,,,,,,,,
Account,00N0N00000HV7qrUAD,REX_Merchandising,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HV7qsUAD,REX_Nr_Of_Store,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HV7qtUAD,REX_Store_Size,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HV7quUAD,REX_Store_Status,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HV7qvUAD,REX_Superior,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HV7qwUAD,REX_Visit_attendance,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HVGbzUAH,DEX_ContractNotes,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000HVGc4UAH,DEX_Dont_Send_to_Front_End,null,CustomField,X,,,,,,,,,X,,,X,,
Account,00N0N00000HVGc6UAH,DEX_Overrider2,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HVGc7UAH,DEX_Overrider,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HVOIzUAP,DEX_ECCEmployeeID,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000HVOJ0UAP,DEX_SalesGroupKey,null,CustomField,X,,,,X,,,,,X,,,,,
Account,00N0N00000HVOJ1UAP,DEX_SalesOfficeKey,null,CustomField,X,,,,X,,,,,X,,,,,
Account,00N0N00000HVOJ2UAP,DEX_LastUpdateActivity,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HVW39UAH,DEX_CustomerHierarchy3,null,CustomField,,,,,,,,,,,,,X,,
Account,00N0N00000HVW3AUAX,DEX_CustomerHierarchy4,null,CustomField,,,,,,,,,,,,,X,,
Account,00N0N00000HVW3BUAX,DEX_CustomerHierarchy5,null,CustomField,,,,,,,,,,X,,,X,,
Account,00N0N00000HVW3CUAX,DEX_Direct_Order_Wholesaler,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HVW3DUAX,DEX_MergeWith,null,CustomField,X,,,,X,,,,X,X,,,,,
Account,00N0N00000HVW3EUAX,DEX_Merge_Account,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000HVW3FUAX,DEX_MixedorUFSCustomer,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000HVW3GUAX,DEX_Name2,null,CustomField,X,,X,,X,,,,X,X,,,X,,
Account,00N0N00000HVW3HUAX,DEX_Newsletter_OptOut,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HVfZdUAL,DEX_HasWebshopAccount,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000HVv2VUAT,DEX_CustomerGroup,null,CustomField,X,,,,,,,,,X,,,X,,
Account,00N0N00000HVv2WUAT,DEX_CustomerHierarchyLevel7,null,CustomField,X,,,,,,,,X,X,,,X,,
Account,00N0N00000HVv2XUAT,DEX_SendEDI,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000HW1nVUAT,REX_BankAccountNumber,null,CustomField,X,,,,,,,,X,,,,,,X
Account,00N0N00000HW1nWUAT,REX_Bank_Account_Check,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HW1nXUAT,REX_CMS_POS_no,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HW1nYUAT,REX_DLF_ID,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HW1nZUAT,REX_Delivery_Day_ICE,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HW1naUAD,REX_Delivery_Day_s_HPC,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HW1nbUAD,REX_EDI_Days_Check,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HW1ndUAD,REX_GLNIdentification,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HW1neUAD,REX_Min_Delivery_Days,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HW1ngUAD,REX_Receiver_Profile_Id,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HW1nhUAD,REX_VAT_Reg_No,null,CustomField,X,,,,,,,,X,,,,,,
Account,00N0N00000HRgHOUA1,REX_Area_text,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHPUA1,REX_Business_Name,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHQUA1,REX_Cofibu_NR_MAISON,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHRUA1,REX_Delivery_Day_HPC,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHSUA1,REX_Delivery_Day_s_Promo,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHTUA1,REX_Delivery_Days_ICE,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHUUA1,REX_Delivery_Days,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHVUA1,REX_Delivery_Lead_Time,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHWUA1,REX_IRI_code,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHXUA1,REX_Merchandiser_Day_s_Food,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHYUA1,REX_Nielsen_Potential,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHZUA1,REX_Nielsen_code,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHaUAL,REX_PO_BOX,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHcUAL,REX_Planorama_Measured,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHdUAL,REX_Province,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HRgHeUAL,REX_Region_Picklist,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HRgHfUAL,REX_Retailer_Number,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHgUAL,REX_Rilevato_Nielsen,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHhUAL,REX_Rilevato_Store_Audit,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHjUAL,REX_Shopper_Type,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHkUAL,REX_Sign,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHlUAL,REX_VATCode,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgHmUAL,REX_Visit_Day_Text,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgIKUA1,REX_Number_of_Completed_Visits,null,CustomField,,,,,X,,,,,,,,,,
Account,00N0N00000HRgILUA1,REX_Number_of_Open_Visits,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRgIMUA1,REX_Total_Listing_Modules,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRmlrUAD,DEX_LeadClassification,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRmlsUAD,DEX_OFSValue,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000HRvRiUAL,REX_Account_Phase,null,CustomField,,,,,,,,,,,,,,,
Account,00N3X00000GY01hUAD,DEX_Wholesaler_Customer_Id,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HRwrbUAD,DEX_PrefSAPLanguage,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000HRwrcUAD,DEX_SalesDistrict,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000HS4hpUAD,REX_Location_ID,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HS7rgUAD,DEX_Country,null,CustomField,X,,,,X,,,,X,X,,,X,,
Account,00N0N00000H4w7fUAB,DEX_SpecialPrice,null,CustomField,,,,,,,,,X,X,,,,,
Account,00N0N00000HFF4XUAX,DEX_2ndLineWholesaler,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HFF4YUAX,DEX_OTM_Calculation_Exempt,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HFF4ZUAX,DEX_POBOX,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000HFF4aUAH,DEX_Parent_Sales_group_Key,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HFF4bUAH,DEX_Parent_Sales_office_Key,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HFF4cUAH,DEX_SAT_Classification,null,CustomField,X,,,,,,,,,,,,,,
Account,00N3X00000GY1j1UAD,DEX_Last_Extraction_Date,null,CustomField,,,,,,,,,,,,,,,
Account,00N3X00000GY5y5UAD,DEX_KitchenType,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000HIxy4UAD,DEX_CustomerFlag,null,CustomField,X,,,,X,,,,X,X,,,X,,
Account,00N3X00000GYh4yUAD,DEX_Market,null,CustomField,X,,,,,,X,,,X,,,,,
Account,00N3X00000GYh4zUAD,DEX_Prospect_Status,null,CustomField,,,,,,,,,,X,,,,,
Account,00N3X00000GYh50UAD,DEX_Segment_OOH,null,CustomField,,,,,,,,,,,,,,,
Account,00N3X00000JtDbZUAV,DEX_Six_Golden_Rules,null,CustomField,X,,,,,,,,X,X,,,X,,
Account,00N3X00000JBRTgUAP,DEX_Do_you_have_terrace_outside_seating,null,CustomField,,,,,,,,,X,,,,,,
Account,00N3X00000JBRThUAP,DEX_Do_you_offer_a_home_delivery_Service,null,CustomField,,,,,,,,,X,,,,,,
Account,00N3X00000JBRTiUAP,DEX_Do_you_offer_takeaways,null,CustomField,,,,,,,,,X,,,,,,
Account,00N3X00000JCWURUA5,DEX_AccountResponsible,null,CustomField,X,,,,X,,,,X,X,,,X,,
